E0,J_ratio,J_xy,J_zz,category,dim_lie,gap,h_scale,mean_commutator,n_lie_vecs,op_mean,order_parameter,ratio_s_mean,ratio_singular,seed,sigma_angles,sigma_mean,u1_axis_fraction,u1_fraction,u1_like,verdict
-16.11911929440063,,0.5,2.0,seed,1,0.19933076825067708,0.1,0.05635163456992821,15,,0.9884901933595135,,7.513799467476608,0,0.09539020029427425,,1.0,,True,
-16.2026911321165,,0.5,2.0,seed,1,0.385417698137676,0.1,0.018972724048676084,15,,0.9622401949752978,,4.0818592121019135,1,0.21855263982994882,,0.9333333333333333,,True,
-16.19725428011947,,0.5,2.0,seed,1,0.3595284924826796,0.1,0.041041776303695626,16,,0.9317201133978525,,3.3558138510969373,2,0.2721983658970042,,0.8125,,True,
-16.3173607901372,,0.5,2.0,seed,1,0.557772821678407,0.1,0.09902876059885264,16,,0.9919707688621076,,9.511697665819424,3,0.08739042123908713,,1.0,,True,
-16.06542944264381,,0.5,2.0,seed,1,0.0930673453289721,0.1,0.06926955698723455,15,,0.9601478241458697,,4.084852726119747,4,0.24542846844394436,,0.9333333333333333,,True,
-16.30662595025451,,0.5,2.0,seed,1,0.576800485783906,0.1,0.07917766459368165,15,,0.9952370114572443,,11.08585472658725,5,0.06704338876569148,,1.0,,True,
-16.160009656726242,,0.5,2.0,seed,1,0.2778503801792116,0.1,0.020428804684436214,15,,0.9912476343684966,,8.539420532003646,6,0.08036723596741906,,1.0,,True,
-16.363953287710032,,0.5,2.0,seed,1,0.6907902353331057,0.1,0.03630850459948793,16,,0.9898129978280019,,7.8989300826469035,7,0.10744332041118054,,1.0,,True,
-16.11624771961949,,0.5,2.0,seed,1,0.17316640511125492,0.1,0.06060506778420694,14,,0.9815426969122687,,6.930712301175115,8,0.1250691389914423,,1.0,,True,
-16.328268046996012,,0.5,2.0,seed,1,0.6134444078903929,0.1,0.08756375936369895,16,,0.9727588992330056,,4.589136199660613,9,0.15813155301493717,,0.9375,,True,
-16.425791817709616,,0.5,2.0,seed,1,0.8309983799259353,0.1,0.042010269346156266,16,,0.9906607015918902,,8.649979914455498,10,0.09956371862772097,,1.0,,True,
-16.093429174004044,,0.5,2.0,seed,1,0.15487828548844718,0.1,0.025081690821695663,15,,0.9197992587469602,,3.187097538314895,11,0.37209777158641566,,0.9333333333333333,,True,
-16.06905671028111,,0.5,2.0,seed,1,0.10201791667985027,0.1,0.06713193339236397,16,,0.9598447950137571,,4.034780291184429,12,0.21708208862028477,,0.9375,,True,
-16.255114837425676,,0.5,2.0,seed,1,0.4473429672495648,0.1,0.07609785046468578,16,,0.9558292871814509,,3.7460615034606817,13,0.22338240893414352,,0.8125,,True,
-16.25233294742926,,0.5,2.0,seed,1,0.42103962591413513,0.1,0.08684243650595568,16,,0.8897061320183103,,2.675329884432527,14,0.4083483097861208,,0.875,,False,
-16.144538431356118,,0.5,2.0,seed,1,0.24441673904390093,0.1,0.04925239543932851,15,,0.996221578253173,,12.182137291382483,15,0.05168389268488791,,1.0,,True,
-16.28148055365299,,0.5,2.0,seed,1,0.5315253902097083,0.1,0.047234773537335,15,,0.9024234716426058,,2.7622700789356998,16,0.39142675336301475,,0.8666666666666667,,True,
-16.160941333286853,,0.5,2.0,seed,1,0.2549796461105842,0.1,0.06704983931473638,15,,0.9984920821919826,,21.252950529926714,17,0.030975171909596314,,1.0,,True,
-16.522096487934814,,0.5,2.0,seed,1,0.9963178071205139,0.1,0.07376773323535547,16,,0.996875617041229,,14.21337814029055,18,0.050773207094327456,,1.0,,True,
-16.055763285546366,,0.5,2.0,seed,1,0.09005360776931326,0.1,0.020125648905675145,15,,0.9986831163967573,,20.71931280875305,19,0.03600407427773355,,1.0,,True,
,,,,h_scan,,,0.01,,,0.9959201012095209,,57.686498930796446,,,,0.04164141816811914,,1.0,,U(1)-like
,,,,h_scan,,,0.03,,,0.9939902873414201,,19.88622115091054,,,,0.06515489350587603,,1.0,,U(1)-like
,,,,h_scan,,,0.05,,,0.9897364015677192,,12.438382637571483,,,,0.09105184390943721,,1.0,,U(1)-like
,,,,h_scan,,,0.08,,,0.9820730061582589,,8.189845306279675,,,,0.12572010466520947,,1.0,,U(1)-like
,,,,h_scan,,,0.1,,,0.9765168334539658,,6.759207676468816,,,,0.14570147328549293,,1.0,,U(1)-like
,,,,h_scan,,,0.15,,,0.9629278570614452,,4.975583536293704,,,,0.1871211551356065,,1.0,,U(1)-like
,,,,h_scan,,,0.2,,,0.9489757230463886,,4.054514080982298,,,,0.22074727451490897,,1.0,,U(1)-like
,,,,h_scan,,,0.3,,,0.9212132588858066,,3.1260130714176557,,,,0.27676462394464363,,0.8,,U(1)-like
,,,,h_scan,,,0.5,,,0.8585698003576381,,2.3205272164732476,,,,0.3660883284468107,,0.2,,SO(3)-like
,,,,h_scan,,,0.7,,,0.8200490325464838,,2.0630369276418037,,,,0.40204944888716054,,0.1,,SO(3)-like
,,,,h_scan,,,1.0,,,0.834484813034137,,2.0625884181005176,,,,0.3382386556207756,,0.2,,SO(3)-like
,,,,h_scan,,,1.5,,,0.8536514404017067,,2.3840319683916498,,,,0.2904377469295271,,0.4,,SO(3)-like
,,,,h_scan,,,2.0,,,0.846339726123937,,2.2068737217875602,,,,0.29273835251221836,,0.2,,SO(3)-like
,0.1,0.5,0.1,J_scan,,,,,,0.793784221521327,,1.6566948163139898,,,,,,0.1,,SO(3)-like
,0.3,0.5,0.3,J_scan,,,,,,0.7785343422191466,,1.544380768106137,,,,,,0.0,,SO(3)-like
,0.5,0.5,0.5,J_scan,,,,,,0.8066655980096401,,2.148660609954428,,,,,,0.2,,SO(3)-like
,1.0,0.5,1.0,J_scan,,,,,,0.9457786036953975,,3.946653061958486,,,,,,0.9,,U(1)-like
,2.0,0.5,2.0,J_scan,,,,,,0.9765168334539658,,6.759207676468816,,,,,,1.0,,U(1)-like
,4.0,0.5,4.0,J_scan,,,,,,0.9827166970738002,,10.624104789231534,,,,,,1.0,,U(1)-like
,8.0,0.5,8.0,J_scan,,,,,,0.9897942542789762,,19.094092780219615,,,,,,1.0,,U(1)-like
