center,alpha,R2_free,R2_newton,n_pairs
595,1.3462807323249268,0.893275330254113,0.8900740208219357,218
590,1.6188501400075546,0.9163883531958912,0.9081705528585172,187
579,1.3097843899815522,0.8949683754122014,0.8917598135411228,224
3,0.5432125080114156,0.8790906457532108,0.8740071948030825,182
312,1.3793535512935422,0.913652957282423,0.9090585103423662,190
732,1.4134689223913834,0.8993154753932054,0.8941592409129067,214
15,1.1536092788580201,0.9317936068902343,0.9311522816398728,202
232,1.666519412411786,0.8247111589634811,0.8131933549042998,208
156,1.9177429380298112,0.7782525888123842,0.7645940302898833,189
287,1.0452128414158905,0.8650412120908335,0.8649911891846213,183
1,0.959242290932163,0.8946438145297195,0.8946029878381644,231
114,1.179562229681822,0.8086586453569838,0.8080293925921097,205
626,1.5884247880905737,0.8880195480246071,0.8799353248200685,209
38,1.1600542757360908,0.8678000123085158,0.8671520759886744,188
196,2.0827335398285687,0.826266727446672,0.8069672078761666,217
553,2.1096115981513592,0.9248014852250696,0.8921803438670968,227
206,0.9934515014724755,0.8863296841385018,0.8863287140581718,196
597,0.7155686531334358,0.9181570951179235,0.9158711022803174,206
5,1.5643067966678148,0.8651420609159752,0.8566484574437591,226
305,1.071067580782902,0.7648011691710283,0.76468636294776,199
502,1.517537343513927,0.891235658848764,0.8835946196438964,212
798,1.3892455783358018,0.8771179025229678,0.8736777040657393,183
375,1.3813589213264155,0.8801345490298124,0.8760448086900211,208
96,1.9988906113487022,0.8192352916972172,0.8010190202692415,195
756,0.8771106558835856,0.8629822591407743,0.8626784776326482,206
548,1.1807329720700044,0.8041510427366305,0.8033014688819462,203
518,1.9669213541413124,0.8689659396143106,0.8388999478772126,222
324,1.038088640646251,0.8827051682039765,0.8826683464543708,192
278,1.8298538537397175,0.8601486460782277,0.8459313555092685,156
430,0.9057212319250274,0.9205188104415646,0.9203297598596534,197
115,1.1363730319794092,0.921776717792732,0.9211870705050744,193
528,1.1516557153092712,0.8494703193009815,0.8489401251199361,206
374,1.5880790125557191,0.840636395706017,0.8323814627820082,219
700,0.9809940237296122,0.8053423691073263,0.8053333984879572,202
519,1.9972999563667082,0.9224521917200473,0.8891443437411441,228
22,1.2377830563099521,0.8920851589032159,0.8908110790674794,181
301,0.9607548528679006,0.9192796496778938,0.9192390062373218,211
350,1.0758935123425852,0.89525451960372,0.8951338691626178,227
351,1.3912614745277743,0.9036179099322893,0.8987477197662891,166
366,0.7427101699121412,0.8876167827804236,0.8856494775383489,211
692,1.834120953614967,0.907365783084108,0.8893025820049423,197
656,1.138957532768475,0.8229877849699148,0.8224427347857819,206
86,0.7027592257837217,0.8040434474270812,0.8018142431196538,227
26,1.6054125550924794,0.8360944524351038,0.8278426490706297,203
466,1.1279778042438837,0.9279429187189528,0.9274670108450833,214
439,0.5233469827571549,0.8917196327360134,0.8852327494861794,208
19,1.0309802946439213,0.8849488026852086,0.8849272935627474,186
378,2.0519742306040514,0.8885006096431624,0.858134038828704,201
604,0.9790232996039748,0.8615189950904623,0.8615079968289578,210
535,1.3779654239373713,0.920031463137701,0.9152740012519832,179
249,1.3413451544750101,0.8832964275472744,0.8805149935966723,208
491,0.9864641113404821,0.7732529964450736,0.7732492296519465,222
496,1.1724755894334782,0.8119957141026082,0.8112199042322201,195
399,1.345048907193723,0.8035023206351927,0.8007708108765934,200
418,1.3056382490487253,0.9085417816983047,0.9064435622184508,165
177,1.7970921116735534,0.8617763781978502,0.8514409134616763,214
484,1.051364296224209,0.9040102048687345,0.9039400322149282,184
169,1.1686032052339763,0.9164190262448053,0.9156287301202558,217
186,1.0589022046623147,0.8292115083421873,0.8291565960307405,195
679,0.6376992521215247,0.8319685888439834,0.8292436121085415,242
403,1.586345490710344,0.8836598150551904,0.8757943368331651,223
793,1.0465224514452138,0.8728741960617666,0.8728149101759622,205
725,1.6100644406325837,0.8740403814870212,0.86533718999252,197
119,0.7000670927349213,0.8567160150463199,0.8546934184937747,219
201,1.369334819220865,0.807623188976745,0.8040894745752781,206
363,1.9361285421224188,0.8070797788102504,0.7899383193617908,214
501,1.2853663730300837,0.8197692171910275,0.8177764893310842,229
490,1.3286324223955466,0.8565446822952882,0.854112506958913,229
371,2.0970557209069076,0.86549014000104,0.8322733222586391,204
525,1.7269133173893931,0.853301467879715,0.8407560501481786,221
521,0.7843394729291253,0.8717913840085514,0.870584604478102,192
49,1.6429619612291884,0.8511587418169041,0.841834223448466,224
684,1.6360503177145755,0.8777605542591516,0.866900527574836,208
36,0.14366808361766706,0.7742233451792672,0.7595031630891552,195
702,1.704397800090644,0.9148186468299824,0.9006376167983923,252
270,1.5423903206362553,0.901545850622258,0.8948776536539822,196
498,1.6982437035635038,0.8668213906823174,0.8550249514802788,209
609,1.791549654125697,0.8478855198627417,0.8285692289920626,202
179,1.3758013957589692,0.7704704915710576,0.7676840771580916,179
770,1.2642027749885016,0.8705699401682644,0.8691291378795122,196
461,1.0919727570614546,0.9066668962346762,0.9064021065400697,188
716,1.6428697294988137,0.8755737037995013,0.8670536932040678,224
176,0.9131651345312531,0.853316380052416,0.8531437617715094,225
673,1.4659527937795025,0.7082186779920616,0.7035816895363347,210
261,0.8066775085731375,0.8892520862620298,0.8883855051168449,191
662,1.429310316346521,0.909817477058626,0.9035074436033896,200
589,0.5842574322404883,0.8021498464767511,0.7979448215320942,208
605,1.1787923781297538,0.9216403860851441,0.9205388963725069,225
282,1.3357484999801652,0.8581216708667928,0.855614264801614,199
180,1.2849214217446066,0.7406510092936264,0.7393363666841247,204
266,1.6546347108132826,0.7814662371120061,0.7738272739987782,229
289,1.008070895211023,0.85433409160137,0.8543324754811386,196
777,1.2552126525691483,0.8957463199634164,0.8935688517319768,196
40,1.585963475405798,0.88225695422688,0.874522590244273,183
53,0.7713505498826015,0.8577273824096593,0.8563289632586553,211
437,0.7541635331258073,0.8726938046448638,0.8713101195376098,174
624,1.3933699886884272,0.8985266192436601,0.8946383425325917,188
60,1.642079816417707,0.8915160707489377,0.8809094934178665,199
697,1.1454844950675989,0.9039624556035812,0.903441790408572,205
153,1.709844245086229,0.8622472261828842,0.8502581776576776,233
236,2.4626184408376415,0.8674208356445651,0.815402371368652,212
291,0.8435566523135897,0.9122650158017568,0.911537463800764,218
255,1.01973914395047,0.9019475515986166,0.9019376250339689,222
44,1.321457925482445,0.8966628999826226,0.8939501652414812,196
238,1.3669009883417003,0.8629738728699426,0.8594886156213581,229
704,1.6792965746070452,0.8766333386411939,0.8673905100064556,189
485,0.03473146087428206,0.9198220873650573,0.8967176913521185,176
331,1.2509103945409858,0.9038585493830715,0.9018189424906728,199
782,1.486520146013711,0.8339836314983731,0.82785209906925,194
377,0.9949434459684794,0.8133716923004529,0.8133711001288941,202
509,1.2151414612533196,0.9119081913583087,0.9105857920198909,202
536,0.8909649150665555,0.8600734848151308,0.8597446174162469,178
62,1.655693109437898,0.8020935447772592,0.7887273470977493,207
402,1.0942079236456712,0.8849594286050373,0.88475269330668,208
415,1.562581104502343,0.9376629880741957,0.9289504083109921,214
591,0.7536530520260097,0.9080655053527223,0.906781025934909,183
344,1.068644301333707,0.9048423127305633,0.904720327625707,197
387,1.0389291792066064,0.9151512187940285,0.9151005223429242,209
436,1.576085101617554,0.8084560383733032,0.8005092902517018,202
733,0.7552967995668992,0.8309621465982917,0.829251756424062,179
562,1.6935329786784803,0.9081214891028875,0.892920286451184,180
421,1.0804777496779105,0.8813187380052532,0.8811282475954184,208
645,1.628413513964739,0.9114522668908831,0.8997177323149245,230
451,1.3944788647703665,0.8872813864294921,0.8831477333350576,226
70,1.6978536567807312,0.8369517963485136,0.8255471581425345,201
761,1.4844984363556715,0.8253505142963982,0.8202981213062093,179
243,1.3009245996022292,0.9261969894950306,0.923695019274253,215
464,1.127522421465445,0.8845377080132186,0.8841461410806319,232
532,1.242824931745104,0.8789349393504109,0.8769588706012985,201
55,0.8252409183023157,0.8660421684793662,0.8652202094838496,204
567,1.4435202767688167,0.8454076802920607,0.841306186419471,220
429,1.1299822026419002,0.8298293606907068,0.8294371863728113,190
754,1.6307036608053929,0.8134590599198673,0.8046953258576771,200
576,1.1200818522991765,0.8759015438947011,0.8754933987100961,168
223,2.3053594268901523,0.9003473805353949,0.8579163132543028,205
707,1.0470905970766726,0.9160684953018327,0.9160095765333759,211
607,1.1769623887649,0.8584915512654753,0.8577524911602722,220
268,1.1202598018654366,0.8383096315338107,0.837972970870965,199
755,0.7117770184026406,0.91385705393184,0.9115309324394372,198
540,1.5193095590367172,0.8223231738001838,0.8150168437121662,224
625,1.4658803854825033,0.7981559408727106,0.7936255555687368,224
333,1.012247449537866,0.8887924709847564,0.8887888613721139,185
740,0.9941560915374597,0.8372720426932199,0.8372710040939204,205
736,1.1374796865770567,0.8461355544718584,0.845830794992909,223
325,1.5484035044836606,0.8376252511161579,0.8319362612993494,207
269,1.5728555887357623,0.8860854037809267,0.8773663180345662,179
660,1.482560460495673,0.8146809384129281,0.8094454293726138,201
83,1.4181203971582128,0.8731785396116043,0.8695311372156218,222
277,1.6495143107149997,0.8515784107620511,0.8374341156654495,172
10,1.2022171643569226,0.8430737126155912,0.8423440592581868,187
