file_N,G_proxy,T_proxy,n,pearson_r,pearson_p,spearman_r,spearman_p,score_mean_r,abs_pearson,abs_spearman
9,G_kappa_plus_halfR,T_minus_lap_only,220,0.5135478220944065,3.3361198157803627e-16,0.6646845210775695,2.02657546208011e-29,0.5891161715859881,0.5135478220944065,0.6646845210775695
9,G_minus_kappa_minus_halfR,T_lap_only,220,0.5135478220944065,3.3361198157803627e-16,0.6646845210775695,2.02657546208011e-29,0.5891161715859881,0.5135478220944065,0.6646845210775695
9,G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,220,0.8237432503345348,1.2314654352157041e-55,0.24858034372794685,0.0001955690832030098,0.5361617970312408,0.8237432503345348,0.24858034372794685
9,G_kappa_minus_halfR,T_minus_lap_only,220,0.5180534187327807,1.6587579346042485e-16,0.5222105221234349,8.625503173909262e-17,0.5201319704281078,0.5180534187327807,0.5222105221234349
9,G_minus_kappa_plus_halfR,T_lap_only,220,0.5180534187327807,1.6587579346042485e-16,0.5222105221234349,8.625503173909262e-17,0.5201319704281078,0.5180534187327807,0.5222105221234349
9,G_minus_kappa_plus_halfR,T_abs_grad_plus_abslap,220,0.8548106176246335,4.9564679687465425e-64,0.18101041958226372,0.007106846196251429,0.5179105186034486,0.8548106176246335,0.18101041958226372
9,G_minus_kappa_minus_halfR,T_grad2_plus_lap,220,0.7665715672210046,8.172416580851908e-44,0.26109880885798137,8.897107732731835e-05,0.513835188039493,0.7665715672210046,0.26109880885798137
9,G_minus_kappa_minus_halfR,T_grad2_only,220,0.7665715672210046,8.172416580851908e-44,0.2545726843314131,0.00013481151790021973,0.5105721257762088,0.7665715672210046,0.2545726843314131
9,G_minus_kappa_minus_halfR,T_grad2_plus_abslap,220,0.7665715672210046,8.172416580851908e-44,0.24859576899484237,0.00019538415287453538,0.5075836681079235,0.7665715672210046,0.24859576899484237
9,G_minus_kappa_minus_halfR,T_grad2_minus_lap,220,0.7665715672210046,8.172416580851908e-44,0.24022659423858292,0.0003236021538454962,0.5033990807297938,0.7665715672210046,0.24022659423858292
9,G_minus_kappa_plus_halfR,T_grad2_plus_lap,220,0.783603647845581,5.897235265456586e-47,0.21762660006307777,0.0011599087452426279,0.5006151239543294,0.783603647845581,0.21762660006307777
9,kappa,T_minus_lap_only,220,0.5197721642062947,1.267169889563268e-16,0.470812991568658,1.5482856035405664e-13,0.4952925778874764,0.5197721642062947,0.470812991568658
9,minus_kappa,T_lap_only,220,0.5197721642062947,1.267169889563268e-16,0.470812991568658,1.5482856035405664e-13,0.4952925778874764,0.5197721642062947,0.470812991568658
9,minus_kappa,T_abs_grad_plus_abslap,220,0.8439698856068438,6.791698378685792e-61,0.13450112266558387,0.046297285060242,0.48923550413621386,0.8439698856068438,0.13450112266558387
9,G_minus_kappa_plus_halfR,T_grad2_plus_abslap,220,0.783603647845581,5.897235265456586e-47,0.1809944328288424,0.007111998936981317,0.4822990403372117,0.783603647845581,0.1809944328288424
9,G_minus_kappa_plus_halfR,T_grad2_only,220,0.783603647845581,5.897235265456586e-47,0.18056401175208325,0.007251987275855689,0.48208382979883213,0.783603647845581,0.18056401175208325
9,G_minus_kappa_plus_halfR,T_grad2_minus_lap,220,0.783603647845581,5.897235265456586e-47,0.17774031917154806,0.008232820064913519,0.48067198350856455,0.783603647845581,0.17774031917154806
9,minus_kappa,T_grad2_plus_lap,220,0.7802907066310882,2.5333053727850963e-46,0.15592317559257088,0.02068370572648739,0.46810694111182954,0.7802907066310882,0.15592317559257088
9,minus_kappa,T_grad2_only,220,0.7802907066310882,2.5333053727850963e-46,0.14302846111392487,0.03398219764398982,0.46165958387250655,0.7802907066310882,0.14302846111392487
9,minus_kappa,T_grad2_plus_abslap,220,0.7802907066310882,2.5333053727850963e-46,0.1345025152812579,0.04629500362579647,0.45739661095617307,0.7802907066310882,0.1345025152812579
9,minus_kappa,T_grad2_minus_lap,220,0.7802907066310882,2.5333053727850963e-46,0.13197063426561698,0.050600983217280744,0.4561306704483526,0.7802907066310882,0.13197063426561698
9,R_edge,T_minus_lap_only,220,0.37788984672540793,7.0733318176208535e-09,0.5094534954590206,6.239347180730388e-16,0.4436716710922143,0.37788984672540793,0.5094534954590206
9,minus_R_edge,T_lap_only,220,0.37788984672540793,7.0733318176208535e-09,0.5094534954590206,6.239347180730388e-16,0.4436716710922143,0.37788984672540793,0.5094534954590206
9,minus_R_edge,T_abs_grad_plus_abslap,220,0.5542763440266101,4.0633196078569877e-19,0.26599996022489364,6.465186736377858e-05,0.4101381521257519,0.5542763440266101,0.26599996022489364
9,minus_R_edge,T_grad2_only,220,0.5416516737347771,3.58665503584898e-18,0.2681268754196663,5.617749835612376e-05,0.4048892745772217,0.5416516737347771,0.2681268754196663
9,minus_R_edge,T_grad2_plus_abslap,220,0.5416516737347771,3.58665503584898e-18,0.26601034806477003,6.460770301824548e-05,0.4038310108997736,0.5416516737347771,0.26601034806477003
9,minus_R_edge,T_grad2_plus_lap,220,0.5416516737347771,3.58665503584898e-18,0.2603314567843211,9.347934297530203e-05,0.4009915652595491,0.5416516737347771,0.2603314567843211
9,minus_R_edge,T_grad2_minus_lap,220,0.5416516737347771,3.58665503584898e-18,0.25345884857929996,0.00014456340046914814,0.39755526115703854,0.5416516737347771,0.25345884857929996
9,minus_kappa,T_abs_lap_only,220,0.2545146218925768,0.00013530427072695173,0.5096040505430974,6.098253668031242e-16,0.3820593362178371,0.2545146218925768,0.5096040505430974
9,G_minus_kappa_plus_halfR,T_abs_lap_only,220,0.2708864202319043,4.6733668908954446e-05,0.4452631200082091,4.1271471435553314e-12,0.35807477012005673,0.2708864202319043,0.4452631200082091
9,G_minus_kappa_minus_halfR,T_abs_lap_only,220,0.23868760620559099,0.0003543905334641944,0.23953828777044545,0.00033705126203218886,0.23911294698801822,0.23868760620559099,0.23953828777044545
9,minus_R_edge,T_abs_lap_only,220,0.11013886807540797,0.10325426589403486,0.05411676711934061,0.4244677504941855,0.0821278175973743,0.11013886807540797,0.05411676711934061
9,R_edge,T_abs_lap_only,220,-0.11013886807540797,0.10325426589403486,-0.05411676711934061,0.4244677504941855,-0.0821278175973743,0.11013886807540797,0.05411676711934061
9,G_kappa_plus_halfR,T_abs_lap_only,220,-0.23868760620559099,0.0003543905334641944,-0.23953828777044545,0.00033705126203218886,-0.23911294698801822,0.23868760620559099,0.23953828777044545
9,G_kappa_minus_halfR,T_abs_lap_only,220,-0.2708864202319043,4.6733668908954446e-05,-0.4452631200082091,4.1271471435553314e-12,-0.35807477012005673,0.2708864202319043,0.4452631200082091
9,kappa,T_abs_lap_only,220,-0.2545146218925768,0.00013530427072695173,-0.5096040505430974,6.098253668031242e-16,-0.3820593362178371,0.2545146218925768,0.5096040505430974
9,R_edge,T_grad2_minus_lap,220,-0.5416516737347771,3.58665503584898e-18,-0.25345884857929996,0.00014456340046914814,-0.39755526115703854,0.5416516737347771,0.25345884857929996
9,R_edge,T_grad2_plus_lap,220,-0.5416516737347771,3.58665503584898e-18,-0.2603314567843211,9.347934297530203e-05,-0.4009915652595491,0.5416516737347771,0.2603314567843211
9,R_edge,T_grad2_plus_abslap,220,-0.5416516737347771,3.58665503584898e-18,-0.26601034806477003,6.460770301824548e-05,-0.4038310108997736,0.5416516737347771,0.26601034806477003
9,R_edge,T_grad2_only,220,-0.5416516737347771,3.58665503584898e-18,-0.2681268754196663,5.617749835612376e-05,-0.4048892745772217,0.5416516737347771,0.2681268754196663
9,R_edge,T_abs_grad_plus_abslap,220,-0.5542763440266101,4.0633196078569877e-19,-0.26599996022489364,6.465186736377858e-05,-0.4101381521257519,0.5542763440266101,0.26599996022489364
9,R_edge,T_lap_only,220,-0.37788984672540793,7.0733318176208535e-09,-0.5094534954590206,6.239347180730388e-16,-0.4436716710922143,0.37788984672540793,0.5094534954590206
9,minus_R_edge,T_minus_lap_only,220,-0.37788984672540793,7.0733318176208535e-09,-0.5094534954590206,6.239347180730388e-16,-0.4436716710922143,0.37788984672540793,0.5094534954590206
9,kappa,T_grad2_minus_lap,220,-0.7802907066310882,2.5333053727850963e-46,-0.13197063426561698,0.050600983217280744,-0.4561306704483526,0.7802907066310882,0.13197063426561698
9,kappa,T_grad2_plus_abslap,220,-0.7802907066310882,2.5333053727850963e-46,-0.1345025152812579,0.04629500362579647,-0.45739661095617307,0.7802907066310882,0.1345025152812579
9,kappa,T_grad2_only,220,-0.7802907066310882,2.5333053727850963e-46,-0.14302846111392487,0.03398219764398982,-0.46165958387250655,0.7802907066310882,0.14302846111392487
9,kappa,T_grad2_plus_lap,220,-0.7802907066310882,2.5333053727850963e-46,-0.15592317559257088,0.02068370572648739,-0.46810694111182954,0.7802907066310882,0.15592317559257088
9,G_kappa_minus_halfR,T_grad2_minus_lap,220,-0.783603647845581,5.897235265456586e-47,-0.17774031917154806,0.008232820064913519,-0.48067198350856455,0.783603647845581,0.17774031917154806
9,G_kappa_minus_halfR,T_grad2_only,220,-0.783603647845581,5.897235265456586e-47,-0.18056401175208325,0.007251987275855689,-0.48208382979883213,0.783603647845581,0.18056401175208325
9,G_kappa_minus_halfR,T_grad2_plus_abslap,220,-0.783603647845581,5.897235265456586e-47,-0.1809944328288424,0.007111998936981317,-0.4822990403372117,0.783603647845581,0.1809944328288424
9,kappa,T_abs_grad_plus_abslap,220,-0.8439698856068438,6.791698378685792e-61,-0.13450112266558387,0.046297285060242,-0.48923550413621386,0.8439698856068438,0.13450112266558387
9,kappa,T_lap_only,220,-0.5197721642062947,1.267169889563268e-16,-0.470812991568658,1.5482856035405664e-13,-0.4952925778874764,0.5197721642062947,0.470812991568658
9,minus_kappa,T_minus_lap_only,220,-0.5197721642062947,1.267169889563268e-16,-0.470812991568658,1.5482856035405664e-13,-0.4952925778874764,0.5197721642062947,0.470812991568658
9,G_kappa_minus_halfR,T_grad2_plus_lap,220,-0.783603647845581,5.897235265456586e-47,-0.21762660006307777,0.0011599087452426279,-0.5006151239543294,0.783603647845581,0.21762660006307777
9,G_kappa_plus_halfR,T_grad2_minus_lap,220,-0.7665715672210046,8.172416580851908e-44,-0.24022659423858292,0.0003236021538454962,-0.5033990807297938,0.7665715672210046,0.24022659423858292
9,G_kappa_plus_halfR,T_grad2_plus_abslap,220,-0.7665715672210046,8.172416580851908e-44,-0.24859576899484237,0.00019538415287453538,-0.5075836681079235,0.7665715672210046,0.24859576899484237
9,G_kappa_plus_halfR,T_grad2_only,220,-0.7665715672210046,8.172416580851908e-44,-0.2545726843314131,0.00013481151790021973,-0.5105721257762088,0.7665715672210046,0.2545726843314131
9,G_kappa_plus_halfR,T_grad2_plus_lap,220,-0.7665715672210046,8.172416580851908e-44,-0.26109880885798137,8.897107732731835e-05,-0.513835188039493,0.7665715672210046,0.26109880885798137
9,G_kappa_minus_halfR,T_abs_grad_plus_abslap,220,-0.8548106176246335,4.9564679687465425e-64,-0.18101041958226372,0.007106846196251429,-0.5179105186034486,0.8548106176246335,0.18101041958226372
9,G_kappa_minus_halfR,T_lap_only,220,-0.5180534187327807,1.6587579346042485e-16,-0.5222105221234349,8.625503173909262e-17,-0.5201319704281078,0.5180534187327807,0.5222105221234349
9,G_minus_kappa_plus_halfR,T_minus_lap_only,220,-0.5180534187327807,1.6587579346042485e-16,-0.5222105221234349,8.625503173909262e-17,-0.5201319704281078,0.5180534187327807,0.5222105221234349
9,G_kappa_plus_halfR,T_abs_grad_plus_abslap,220,-0.8237432503345348,1.2314654352157041e-55,-0.24858034372794685,0.0001955690832030098,-0.5361617970312408,0.8237432503345348,0.24858034372794685
9,G_kappa_plus_halfR,T_lap_only,220,-0.5135478220944065,3.3361198157803627e-16,-0.6646845210775695,2.02657546208011e-29,-0.5891161715859881,0.5135478220944065,0.6646845210775695
9,G_minus_kappa_minus_halfR,T_minus_lap_only,220,-0.5135478220944065,3.3361198157803627e-16,-0.6646845210775695,2.02657546208011e-29,-0.5891161715859881,0.5135478220944065,0.6646845210775695
12,G_minus_kappa_minus_halfR,T_grad2_plus_lap,290,0.925560976411704,1.6624763711490944e-123,0.43078100969122635,1.5632733355676457e-14,0.6781709930514652,0.925560976411704,0.43078100969122635
12,minus_kappa,T_grad2_plus_lap,290,0.9259013096577154,8.811907317749976e-124,0.3350711455685735,4.87371769168475e-09,0.6304862276131444,0.9259013096577154,0.3350711455685735
12,G_minus_kappa_minus_halfR,T_grad2_plus_abslap,290,0.9255609764117041,1.6624763711484078e-123,0.31813906024614347,3.0440387010078045e-08,0.6218500183289237,0.9255609764117041,0.31813906024614347
12,G_minus_kappa_minus_halfR,T_grad2_only,290,0.925560976411704,1.6624763711490944e-123,0.3172929665782645,3.3261018339944724e-08,0.6214269714949843,0.925560976411704,0.3172929665782645
12,G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,290,0.909652222164381,6.640684848332761e-112,0.3241353342204303,1.611636635802156e-08,0.6168937781924057,0.909652222164381,0.3241353342204303
12,minus_kappa,T_grad2_plus_abslap,290,0.9259013096577156,8.811907317749976e-124,0.29892865022417203,2.129244774122243e-07,0.6124149799409437,0.9259013096577156,0.29892865022417203
12,minus_kappa,T_grad2_only,290,0.9259013096577154,8.811907317749976e-124,0.25703662116253384,9.294154991124357e-06,0.5914689654101246,0.9259013096577154,0.25703662116253384
12,G_minus_kappa_minus_halfR,T_grad2_minus_lap,290,0.925560976411704,1.6624763711490944e-123,0.2544898217428351,1.1464020103836199e-05,0.5900253990772695,0.925560976411704,0.2544898217428351
12,minus_kappa,T_abs_grad_plus_abslap,290,0.9100805374174697,3.458215137186641e-112,0.26621986495799166,4.281854612088798e-06,0.5881502011877306,0.9100805374174697,0.26621986495799166
12,minus_kappa,T_grad2_minus_lap,290,0.9259013096577154,8.811907317749976e-124,0.24358660049690622,2.746215306388275e-05,0.5847439550773108,0.9259013096577154,0.24358660049690622
12,minus_R_edge,T_grad2_plus_lap,290,0.48038821120342556,3.7781740417298714e-18,0.44329802165849513,2.168667842935393e-15,0.4618431164309603,0.48038821120342556,0.44329802165849513
12,R_edge,T_minus_lap_only,290,0.3186070652423022,2.8980855864300005e-08,0.5911791548542614,1.0132288054129657e-28,0.4548931100482818,0.3186070652423022,0.5911791548542614
12,minus_R_edge,T_lap_only,290,0.3186070652423022,2.8980855864300005e-08,0.5911791548542614,1.0132288054129657e-28,0.4548931100482818,0.3186070652423022,0.5911791548542614
12,G_kappa_plus_halfR,T_minus_lap_only,290,0.28897484215162916,5.527402293756136e-07,0.6111841598310049,4.3177097925672465e-31,0.45007950099131705,0.28897484215162916,0.6111841598310049
12,G_minus_kappa_minus_halfR,T_lap_only,290,0.28897484215162916,5.527402293756136e-07,0.6111841598310049,4.3177097925672465e-31,0.45007950099131705,0.28897484215162916,0.6111841598310049
12,minus_R_edge,T_grad2_only,290,0.4803882112034255,3.7781740417298714e-18,0.34642621444662874,1.338460568900758e-09,0.4134072128250271,0.4803882112034255,0.34642621444662874
12,kappa,T_minus_lap_only,290,0.2629789364124359,5.647453624846438e-06,0.5583528659516118,3.6012062328996687e-25,0.41066590118202384,0.2629789364124359,0.5583528659516118
12,minus_kappa,T_lap_only,290,0.2629789364124359,5.647453624846438e-06,0.5583528659516118,3.6012062328996687e-25,0.41066590118202384,0.2629789364124359,0.5583528659516118
12,minus_R_edge,T_abs_grad_plus_abslap,290,0.47152502738453855,1.850680307285711e-17,0.3439692035951258,1.7781691182052005e-09,0.40774711548983217,0.47152502738453855,0.3439692035951258
12,minus_R_edge,T_grad2_plus_abslap,290,0.48038821120342556,3.7781740417298714e-18,0.32879918188895485,9.733184039921016e-09,0.4045936965461902,0.48038821120342556,0.32879918188895485
12,minus_R_edge,T_grad2_minus_lap,290,0.4803882112034255,3.7781740417298714e-18,0.2846568592495569,8.267675306477322e-07,0.3825225352264912,0.4803882112034255,0.2846568592495569
12,G_minus_kappa_plus_halfR,T_grad2_plus_abslap,290,0.9077495898553501,1.1590298905079995e-110,-0.2247889541049995,0.00011291806331979192,0.3414803178751753,0.9077495898553501,0.2247889541049995
12,G_minus_kappa_plus_halfR,T_abs_lap_only,290,0.22944514294686266,8.041258530195216e-05,0.4522811838203261,4.993699714712101e-16,0.3408631633835944,0.22944514294686266,0.4522811838203261
12,G_minus_kappa_plus_halfR,T_grad2_minus_lap,290,0.9077495898553501,1.1590298905079995e-110,-0.23953397602035145,3.761533121250701e-05,0.33410780691749936,0.9077495898553501,0.23953397602035145
12,G_minus_kappa_plus_halfR,T_grad2_only,290,0.9077495898553501,1.1590298905079995e-110,-0.27796165830952085,1.5232797096506734e-06,0.3148939657729146,0.9077495898553501,0.27796165830952085
12,G_minus_kappa_plus_halfR,T_abs_grad_plus_abslap,290,0.8923470330905877,1.6626777535763802e-101,-0.2628257164085966,5.721334893264221e-06,0.31476065834099554,0.8923470330905877,0.2628257164085966
12,G_minus_kappa_plus_halfR,T_grad2_plus_lap,290,0.9077495898553501,1.1590298905079995e-110,-0.31015341218386655,6.949548864750911e-08,0.29879808883574177,0.9077495898553501,0.31015341218386655
12,R_edge,T_abs_lap_only,290,0.1364430346897953,0.020104785813149905,0.42374611471835916,4.5798534969614614e-14,0.2800945747040772,0.1364430346897953,0.42374611471835916
12,minus_kappa,T_abs_lap_only,290,0.19411622939959078,0.0008903325805194578,0.15676860132249032,0.007479597715291606,0.17544241536104055,0.19411622939959078,0.15676860132249032
12,G_kappa_plus_halfR,T_abs_lap_only,290,-0.1600754683060382,0.006297947359956694,0.3837766504427009,1.3040909209624586e-11,0.11185059106833134,0.1600754683060382,0.3837766504427009
12,G_kappa_minus_halfR,T_lap_only,290,-0.22776346695010033,9.097564749836325e-05,0.3805582973829585,1.9904794161948098e-11,0.07639741521642908,0.22776346695010033,0.3805582973829585
